ID,Area,Zona777,Z_EOD,N_COM,COMUNA,NMacroZONA,MacroZona,N_ZONATS,ZONA_TS
280,0,26596,400,400,22,PEDRO AGUIRRE CERDA,5,SUR,5,H
401,0,445418,170,170,26,MAIPU,2,PONIENTE,2,I
660,0,116699,697,154,25,CERRILLOS,2,PONIENTE,2,I
389,0,228741,155,155,25,CERRILLOS,2,PONIENTE,2,I
391,0,259417,163,163,26,MAIPU,2,PONIENTE,2,I
783,0,194599,819,161,26,MAIPU,2,PONIENTE,2,I
397,0,456931,168,168,26,MAIPU,2,PONIENTE,2,I
782,0,203865,818,160,26,MAIPU,2,PONIENTE,2,I
698,0,193814,735,914,26,MAIPU,2,PONIENTE,2,I
657,0,241097,694,152,25,CERRILLOS,2,PONIENTE,2,I
655,0,1597,692,152,25,CERRILLOS,2,PONIENTE,2,I
387,0,327431,153,153,25,CERRILLOS,2,PONIENTE,2,I
388,0,324244,152,152,25,CERRILLOS,2,PONIENTE,2,I
649,0,275088,686,157,26,MAIPU,2,PONIENTE,2,I
595,0,20887,633,157,26,MAIPU,2,PONIENTE,2,I
223,0,205039,126,126,29,PUDAHUEL,2,PONIENTE,2,J
593,0,251871,631,157,26,MAIPU,2,PONIENTE,2,I
650,0,14295,687,157,26,MAIPU,2,PONIENTE,2,I
791,0,112044,827,133,29,PUDAHUEL,2,PONIENTE,2,J
790,0,149187,826,132,29,PUDAHUEL,2,PONIENTE,2,J
226,0,193047,132,132,29,PUDAHUEL,2,PONIENTE,2,J
679,0,119927,716,121,28,LO PRADO,2,PONIENTE,2,J
792,0,242838,828,134,29,PUDAHUEL,2,PONIENTE,2,J
227,0,195521,133,133,29,PUDAHUEL,2,PONIENTE,2,J
222,0,298205,130,130,29,PUDAHUEL,2,PONIENTE,2,J
224,0,138579,129,129,29,PUDAHUEL,2,PONIENTE,2,J
789,0,081686,825,125,29,PUDAHUEL,2,PONIENTE,2,J
219,0,085337,128,128,29,PUDAHUEL,2,PONIENTE,2,J
220,0,147432,131,131,29,PUDAHUEL,2,PONIENTE,2,J
680,0,105569,717,118,28,LO PRADO,2,PONIENTE,2,J
228,0,156417,118,118,28,LO PRADO,2,PONIENTE,2,J
670,0,168077,707,125,29,PUDAHUEL,2,PONIENTE,2,J
785,0,139656,821,125,29,PUDAHUEL,2,PONIENTE,2,J
672,0,249317,709,125,29,PUDAHUEL,2,PONIENTE,2,J
673,0,117229,710,129,29,PUDAHUEL,2,PONIENTE,2,J
671,0,097948,708,125,29,PUDAHUEL,2,PONIENTE,2,J
221,0,153917,127,127,29,PUDAHUEL,2,PONIENTE,2,J
665,0,364154,702,158,26,MAIPU,2,PONIENTE,2,I
654,0,175051,691,149,25,CERRILLOS,2,PONIENTE,2,I
217,0,098716,146,146,30,CERRO NAVIA,2,PONIENTE,2,J
207,0,145038,114,114,28,LO PRADO,2,PONIENTE,2,J
678,0,063434,715,114,28,LO PRADO,2,PONIENTE,2,J
218,0,131278,113,113,28,LO PRADO,2,PONIENTE,2,J
677,0,058875,714,114,28,LO PRADO,2,PONIENTE,2,J
676,0,084885,713,114,28,LO PRADO,2,PONIENTE,2,J
350,0,093281,384,384,21,EL BOSQUE,5,SUR,5,G
351,0,206358,387,387,21,EL BOSQUE,5,SUR,5,G
349,0,024472,382,382,20,LA CISTERNA,5,SUR,5,G
352,0,256421,847,385,21,EL BOSQUE,5,SUR,5,G
333,0,192655,378,378,20,LA CISTERNA,5,SUR,5,G
769,0,109281,805,425,23,LO ESPEJO,5,SUR,5,H
305,0,241079,417,417,22,PEDRO AGUIRRE CERDA,5,SUR,5,H
231,0,22944,79,79,24,ESTACION CENTRAL,2,PONIENTE,2,I
242,0,208416,81,81,24,ESTACION CENTRAL,2,PONIENTE,2,I
295,0,104426,402,402,22,PEDRO AGUIRRE CERDA,5,SUR,5,H
279,0,135449,426,426,34,SAN BERNARDO,5,SUR,5,H
247,0,27033,84,84,24,ESTACION CENTRAL,2,PONIENTE,2,I
266,0,228229,293,293,1,SANTIAGO,4,CENTRO,4,A
267,0,255072,301,301,1,SANTIAGO,4,CENTRO,4,A
243,0,134894,80,80,24,ESTACION CENTRAL,2,PONIENTE,2,I
245,0,255018,82,82,24,ESTACION CENTRAL,2,PONIENTE,2,I
270,0,248512,88,88,24,ESTACION CENTRAL,2,PONIENTE,2,I
244,0,220203,78,78,24,ESTACION CENTRAL,2,PONIENTE,2,I
248,0,194896,280,280,1,SANTIAGO,4,CENTRO,4,A
249,0,313444,281,281,1,SANTIAGO,4,CENTRO,4,A
265,0,42066,294,294,1,SANTIAGO,4,CENTRO,4,A
187,0,342606,76,76,24,ESTACION CENTRAL,2,PONIENTE,2,I
246,0,214011,83,83,24,ESTACION CENTRAL,2,PONIENTE,2,I
168,0,121522,272,272,1,SANTIAGO,4,CENTRO,4,A
167,0,146891,277,277,1,SANTIAGO,4,CENTRO,4,A
688,0,30123,725,104,27,QUINTA NORMAL,2,PONIENTE,2,J
188,0,125028,103,103,27,QUINTA NORMAL,2,PONIENTE,2,J
172,0,089163,262,262,1,SANTIAGO,4,CENTRO,4,A
268,0,101306,302,302,1,SANTIAGO,4,CENTRO,4,A
160,0,137878,275,275,1,SANTIAGO,4,CENTRO,4,A
250,0,277433,282,282,1,SANTIAGO,4,CENTRO,4,A
171,0,126773,269,269,1,SANTIAGO,4,CENTRO,4,A
170,0,127329,270,270,1,SANTIAGO,4,CENTRO,4,A
162,0,142052,271,271,1,SANTIAGO,4,CENTRO,4,A
166,0,127077,273,273,1,SANTIAGO,4,CENTRO,4,A
272,0,166503,87,87,24,ESTACION CENTRAL,2,PONIENTE,2,I
238,0,233226,75,75,24,ESTACION CENTRAL,2,PONIENTE,2,I
191,0,165109,106,106,27,QUINTA NORMAL,2,PONIENTE,2,J
261,0,308449,296,296,1,SANTIAGO,4,CENTRO,4,A
100,0,110762,266,266,1,SANTIAGO,4,CENTRO,4,A
163,0,150704,274,274,1,SANTIAGO,4,CENTRO,4,A
164,0,136845,279,279,1,SANTIAGO,4,CENTRO,4,A
165,0,125567,278,278,1,SANTIAGO,4,CENTRO,4,A
917,0,36775,829,69,32,QUILICURA,1,NORTE,1,B
924,0,335162,772,68,32,QUILICURA,1,NORTE,1,B
934,0,408712,771,68,32,QUILICURA,1,NORTE,1,B
921,0,196952,832,901,4,HUECHURABA,1,NORTE,1,B
498,0,209234,537,901,4,HUECHURABA,1,NORTE,1,B
149,0,352008,10,10,3,CONCHALI,1,NORTE,1,B
799,0,184204,835,60,31,RENCA,1,NORTE,1,B
682,0,211269,719,60,31,RENCA,1,NORTE,1,B
681,0,161426,718,60,31,RENCA,1,NORTE,1,B
184,0,228348,60,60,31,RENCA,1,NORTE,1,B
211,0,132428,141,141,30,CERRO NAVIA,2,PONIENTE,2,J
809,0,078391,845,141,30,CERRO NAVIA,2,PONIENTE,2,J
810,0,064563,846,141,30,CERRO NAVIA,2,PONIENTE,2,J
800,0,085037,836,61,31,RENCA,1,NORTE,1,B
135,0,214116,12,12,3,CONCHALI,1,NORTE,1,B
133,0,218201,13,13,3,CONCHALI,1,NORTE,1,B
148,0,200145,16,16,3,CONCHALI,1,NORTE,1,B
916,1,083822,830,70,32,QUILICURA,1,NORTE,1,B
136,0,231439,18,18,3,CONCHALI,1,NORTE,1,B
798,0,59508,834,59,31,RENCA,1,NORTE,1,B
158,0,1865,63,63,31,RENCA,1,NORTE,1,B
147,0,332053,17,17,3,CONCHALI,1,NORTE,1,B
145,0,207001,22,22,3,CONCHALI,1,NORTE,1,B
130,0,147017,24,24,3,CONCHALI,1,NORTE,1,B
159,0,19837,62,62,31,RENCA,1,NORTE,1,B
152,0,156465,28,28,3,CONCHALI,1,NORTE,1,B
144,0,126461,26,26,3,CONCHALI,1,NORTE,1,B
146,0,172057,21,21,3,CONCHALI,1,NORTE,1,B
615,0,369822,652,477,14,LA FLORIDA,6,SURORIENTE,6,E
729,0,532763,766,462,13,PEÑALOLEN,6,SURORIENTE,6,D
521,1,654419,462,462,13,PEÑALOLEN,6,SURORIENTE,6,D
730,0,587706,767,462,13,PEÑALOLEN,6,SURORIENTE,6,D
610,1,356058,647,462,13,PEÑALOLEN,6,SURORIENTE,6,D
726,0,192975,763,455,13,PEÑALOLEN,6,SURORIENTE,6,D
518,1,001806,461,461,13,PEÑALOLEN,6,SURORIENTE,6,D
611,0,36524,648,461,13,PEÑALOLEN,6,SURORIENTE,6,D
440,0,329559,481,481,14,LA FLORIDA,6,SURORIENTE,6,E
434,0,23022,473,473,14,LA FLORIDA,6,SURORIENTE,6,E
524,0,5352,477,477,14,LA FLORIDA,6,SURORIENTE,6,E
523,0,58886,474,474,14,LA FLORIDA,6,SURORIENTE,6,E
616,0,495234,653,478,14,LA FLORIDA,6,SURORIENTE,6,E
80,0,261346,443,443,12,MACUL,6,SURORIENTE,6,D
78,0,147487,460,460,13,PEÑALOLEN,6,SURORIENTE,6,D
517,0,311952,459,459,13,PEÑALOLEN,6,SURORIENTE,6,D
81,0,350285,444,444,12,MACUL,6,SURORIENTE,6,D
411,0,569698,463,463,13,PEÑALOLEN,6,SURORIENTE,6,D
612,0,318334,649,463,13,PEÑALOLEN,6,SURORIENTE,6,D
410,0,413928,447,447,12,MACUL,6,SURORIENTE,6,D
414,0,371786,465,465,13,PEÑALOLEN,6,SURORIENTE,6,D
412,0,340383,466,466,13,PEÑALOLEN,6,SURORIENTE,6,D
432,0,540256,471,471,14,LA FLORIDA,6,SURORIENTE,6,E
433,0,355616,472,472,14,LA FLORIDA,6,SURORIENTE,6,E
575,0,254439,616,476,14,LA FLORIDA,6,SURORIENTE,6,E
614,0,18032,651,477,14,LA FLORIDA,6,SURORIENTE,6,E
439,0,206299,480,480,14,LA FLORIDA,6,SURORIENTE,6,E
41,0,280593,252,252,11,LA REINA,3,ORIENTE,3,D
719,0,243266,756,226,9,LAS CONDES,3,ORIENTE,3,C
79,0,181152,247,247,10,ÑUÑOA,3,ORIENTE,3,D
68,0,353343,241,241,10,ÑUÑOA,3,ORIENTE,3,D
73,0,306251,453,453,13,PEÑALOLEN,6,SURORIENTE,6,D
409,0,549915,446,446,12,MACUL,6,SURORIENTE,6,D
732,0,23959,769,444,12,MACUL,6,SURORIENTE,6,D
69,0,265901,442,442,12,MACUL,6,SURORIENTE,6,D
413,0,164785,464,464,13,PEÑALOLEN,6,SURORIENTE,6,D
431,0,513151,470,470,14,LA FLORIDA,6,SURORIENTE,6,E
430,0,200052,469,469,14,LA FLORIDA,6,SURORIENTE,6,E
415,0,375642,451,451,12,MACUL,6,SURORIENTE,6,D
46,0,394091,187,187,6,PROVIDENCIA,3,ORIENTE,3,C
45,0,284065,250,250,10,ÑUÑOA,3,ORIENTE,3,D
42,0,293628,256,256,11,LA REINA,3,ORIENTE,3,D
43,0,241086,255,255,11,LA REINA,3,ORIENTE,3,D
722,0,241775,759,256,11,LA REINA,3,ORIENTE,3,D
50,0,208198,233,233,10,ÑUÑOA,3,ORIENTE,3,D
47,0,506492,234,234,10,ÑUÑOA,3,ORIENTE,3,D
52,0,453192,232,232,10,ÑUÑOA,3,ORIENTE,3,D
49,0,342378,236,236,10,ÑUÑOA,3,ORIENTE,3,D
48,0,219355,257,257,11,LA REINA,3,ORIENTE,3,D
721,0,191509,758,257,11,LA REINA,3,ORIENTE,3,D
71,0,231914,259,259,11,LA REINA,3,ORIENTE,3,D
70,0,343583,258,258,11,LA REINA,3,ORIENTE,3,D
74,0,297649,454,454,13,PEÑALOLEN,6,SURORIENTE,6,D
519,0,292497,457,457,13,PEÑALOLEN,6,SURORIENTE,6,D
63,0,523378,240,240,10,ÑUÑOA,3,ORIENTE,3,D
66,0,407306,246,246,10,ÑUÑOA,3,ORIENTE,3,D
407,0,336392,445,445,12,MACUL,6,SURORIENTE,6,D
82,0,368527,441,441,12,MACUL,6,SURORIENTE,6,D
65,0,333507,245,245,10,ÑUÑOA,3,ORIENTE,3,D
405,0,260166,448,448,12,MACUL,6,SURORIENTE,6,D
408,0,196343,449,449,12,MACUL,6,SURORIENTE,6,D
85,0,605181,440,440,12,MACUL,6,SURORIENTE,6,D
84,0,26315,248,248,10,ÑUÑOA,3,ORIENTE,3,D
287,0,249001,314,314,15,SAN JOAQUIN,5,SUR,5,H
286,0,269977,311,311,15,SAN JOAQUIN,5,SUR,5,H
733,0,258273,770,311,15,SAN JOAQUIN,5,SUR,5,H
404,0,227291,315,315,15,SAN JOAQUIN,5,SUR,5,H
417,0,345782,317,317,15,SAN JOAQUIN,5,SUR,5,H
424,0,294734,319,319,15,SAN JOAQUIN,5,SUR,5,H
289,0,202495,312,312,15,SAN JOAQUIN,5,SUR,5,H
285,0,326447,310,310,15,SAN JOAQUIN,5,SUR,5,H
259,0,266037,305,305,1,SANTIAGO,4,CENTRO,4,A
290,0,143026,321,321,15,SAN JOAQUIN,5,SUR,5,H
320,0,192282,348,348,18,SAN RAMON,5,SUR,5,G
416,0,529239,450,450,12,MACUL,6,SURORIENTE,6,D
429,0,360505,468,468,14,LA FLORIDA,6,SURORIENTE,6,E
428,0,41668,467,467,14,LA FLORIDA,6,SURORIENTE,6,E
438,0,322871,476,476,14,LA FLORIDA,6,SURORIENTE,6,E
576,0,128487,617,480,14,LA FLORIDA,6,SURORIENTE,6,E
444,0,562239,329,329,16,LA GRANJA,5,SUR,5,E
427,0,394121,327,327,16,LA GRANJA,5,SUR,5,G
445,0,32123,328,328,16,LA GRANJA,5,SUR,5,E
338,0,29416,350,350,18,SAN RAMON,5,SUR,5,G
339,0,163339,351,351,18,SAN RAMON,5,SUR,5,G
406,0,222989,452,452,12,MACUL,6,SURORIENTE,6,D
425,0,11118,324,324,15,SAN JOAQUIN,5,SUR,5,H
426,0,211862,326,326,16,LA GRANJA,5,SUR,5,E
423,0,086432,325,325,16,LA GRANJA,5,SUR,5,E
422,0,224301,320,320,15,SAN JOAQUIN,5,SUR,5,H
549,0,244332,332,332,16,LA GRANJA,5,SUR,5,E
548,0,1961,330,330,16,LA GRANJA,5,SUR,5,E
551,0,133347,331,331,16,LA GRANJA,5,SUR,5,E
707,0,202871,744,336,16,LA GRANJA,5,SUR,5,E
57,0,409521,178,178,6,PROVIDENCIA,3,ORIENTE,3,C
59,0,165018,177,177,6,PROVIDENCIA,3,ORIENTE,3,C
55,0,360869,182,182,6,PROVIDENCIA,3,ORIENTE,3,C
60,0,198285,181,181,6,PROVIDENCIA,3,ORIENTE,3,C
90,0,095283,306,306,1,SANTIAGO,4,CENTRO,4,A
53,0,543838,231,231,10,ÑUÑOA,3,ORIENTE,3,D
62,0,458212,238,238,10,ÑUÑOA,3,ORIENTE,3,D
64,0,292774,239,239,10,ÑUÑOA,3,ORIENTE,3,D
61,0,241511,237,237,10,ÑUÑOA,3,ORIENTE,3,D
257,0,384603,299,299,1,SANTIAGO,4,CENTRO,4,A
254,0,216707,298,298,1,SANTIAGO,4,CENTRO,4,A
86,0,151658,249,249,10,ÑUÑOA,3,ORIENTE,3,D
88,0,159973,243,243,10,ÑUÑOA,3,ORIENTE,3,D
87,0,113365,244,244,10,ÑUÑOA,3,ORIENTE,3,D
258,0,164119,300,300,1,SANTIAGO,4,CENTRO,4,A
720,0,138405,757,235,10,ÑUÑOA,3,ORIENTE,3,D
51,0,332595,235,235,10,ÑUÑOA,3,ORIENTE,3,D
613,0,168768,650,474,14,LA FLORIDA,6,SURORIENTE,6,E
83,0,250168,261,261,11,LA REINA,3,ORIENTE,3,D
723,0,347204,760,261,11,LA REINA,3,ORIENTE,3,D
77,0,524979,455,455,13,PEÑALOLEN,6,SURORIENTE,6,D
724,0,347153,761,261,11,LA REINA,3,ORIENTE,3,D
717,0,363693,754,253,11,LA REINA,3,ORIENTE,3,D
72,0,350873,260,260,11,LA REINA,3,ORIENTE,3,D
725,0,17943,762,261,11,LA REINA,3,ORIENTE,3,D
731,0,113689,768,260,11,LA REINA,3,ORIENTE,3,D
67,0,255458,242,242,10,ÑUÑOA,3,ORIENTE,3,D
76,0,179319,458,458,13,PEÑALOLEN,6,SURORIENTE,6,D
718,0,218484,755,225,9,LAS CONDES,3,ORIENTE,3,C
716,0,226854,753,253,11,LA REINA,3,ORIENTE,3,D
15,0,421754,190,190,7,VITACURA,3,ORIENTE,3,C
17,0,6119,189,189,7,VITACURA,3,ORIENTE,3,C
18,0,364306,188,188,7,VITACURA,3,ORIENTE,3,C
14,0,604738,191,191,7,VITACURA,3,ORIENTE,3,C
13,0,400716,192,192,7,VITACURA,3,ORIENTE,3,C
16,0,386693,195,195,7,VITACURA,3,ORIENTE,3,C
20,0,50038,208,208,9,LAS CONDES,3,ORIENTE,3,C
8,0,283585,196,196,7,VITACURA,3,ORIENTE,3,C
11,0,354901,213,213,9,LAS CONDES,3,ORIENTE,3,C
12,0,659007,193,193,7,VITACURA,3,ORIENTE,3,C
4,0,272454,210,210,9,LAS CONDES,3,ORIENTE,3,C
487,0,271127,32,32,4,HUECHURABA,1,NORTE,1,B
692,0,172064,729,32,4,HUECHURABA,1,NORTE,1,B
490,0,215179,31,31,4,HUECHURABA,1,NORTE,1,B
485,0,213401,30,30,4,HUECHURABA,1,NORTE,1,B
488,0,9387,34,34,4,HUECHURABA,1,NORTE,1,B
112,0,195734,42,42,5,RECOLETA,1,NORTE,1,B
486,0,18712,29,29,4,HUECHURABA,1,NORTE,1,B
499,0,443222,194,194,7,VITACURA,3,ORIENTE,3,C
3,0,331402,211,211,9,LAS CONDES,3,ORIENTE,3,C
492,0,371911,198,198,7,VITACURA,3,ORIENTE,3,C
2,0,296064,199,199,7,VITACURA,3,ORIENTE,3,C
5,0,21854,197,197,7,VITACURA,3,ORIENTE,3,C
6,0,198285,201,201,7,VITACURA,3,ORIENTE,3,C
7,0,263462,209,209,9,LAS CONDES,3,ORIENTE,3,C
738,0,067305,775,230,9,LAS CONDES,3,ORIENTE,3,C
601,0,911464,638,202,8,LO BARNECHEA,3,ORIENTE,3,C
600,0,325342,637,203,8,LO BARNECHEA,3,ORIENTE,3,C
599,0,217164,636,203,8,LO BARNECHEA,3,ORIENTE,3,C
866,0,406456,69,69,32,QUILICURA,1,NORTE,1,B
875,0,365939,68,68,32,QUILICURA,1,NORTE,1,B
869,0,360463,67,67,32,QUILICURA,1,NORTE,1,B
872,0,053082,554,918,32,QUILICURA,1,NORTE,1,B
873,0,307305,629,67,32,QUILICURA,1,NORTE,1,B
874,0,166181,778,67,32,QUILICURA,1,NORTE,1,B
